index,ad1,ad2,source_ad1,source_ad2,count.nonparaphrase,count.paraphrase,count.preference_skip,count.preference_ad1,count.preference_ad2
0,まずは、無料カウンセリングから,無料カウンセリングはこちらから,adsimilarity,adsimilarity,0,5,0,6,4
1,【最新62巻】大好評配信,【最新巻62巻】大好評配信,adsimilarity,adsimilarity,0,5,4,2,4
2,12時までの注文で最短当日発送,12時までのご注文で最短当日発送,adsimilarity,adsimilarity,0,5,3,1,6
3,(公式)不動産投資のベルテックス,不動産投資のベルテックス／公式,adsimilarity,adsimilarity,0,5,1,6,3
4,オリックス生命（公式サイト）,オリックス生命公式ホームページ,adsimilarity,adsimilarity,0,5,1,6,3
5,【公式】トヨタのサブスクKINTO,トヨタのサブスクKINTO【公式】,adsimilarity,adsimilarity,0,5,1,9,0
6,【公式】auPAYマーケット,【公式】auPAYマーケット通販,adsimilarity,adsimilarity,1,4,3,3,4
7,【初診料なし】治療薬を最短配送,初診料なし。治療薬を最短お届け,adsimilarity,adsimilarity,1,4,2,6,2
8,スペースヒーター通販／ミスミ,スペースヒーター通販ならミスミ,adsimilarity,adsimilarity,0,5,1,6,3
9,日本和装ホールディングス／公式,公式／日本和装ホールディングス,adsimilarity,adsimilarity,0,5,2,3,5
10,レクサス月額74800円から,"レクサス月額74,800円～",adsimilarity,adsimilarity,0,5,1,3,6
11,パソコン工房【公式通販サイト】,パソコン工房【公式】,adsimilarity,adsimilarity,0,5,0,6,4
12,日々の生活をもっと豊かに快適に,【日々の暮らしをもっと快適に】,adsimilarity,adsimilarity,1,4,1,4,5
13,ご購入をご検討の方へ,ご購入をお考えの方,adsimilarity,adsimilarity,0,5,1,8,1
14,大人気のライズをご紹介,大人気のRAIZEをご紹介,adsimilarity,adsimilarity,0,5,1,2,7
15,10万話以上の無料漫画が楽しめる,漫画10万話以上が無料で読める,adsimilarity,adsimilarity,0,5,1,3,6
16,KANEBO/全品送料無料,カネボウの通販／全品送料無料,adsimilarity,adsimilarity,0,5,2,4,4
17,埼玉県の銀行でローン借り入れ,埼玉の銀行でローン借り入れ,adsimilarity,adsimilarity,0,5,4,4,2
18,【無料資料請求】詳細はコチラ,【無料】資料請求はこちら,adsimilarity,adsimilarity,0,5,0,7,3
19,小学生向け東進のオンライン講座,小学生向け東進オンライン学校,adsimilarity,adsimilarity,0,5,3,1,6
20,14時までの注文で即日発送,14時までの注文で即日発送可能,adsimilarity,adsimilarity,0,5,0,8,2
21,シェル モーリナS2B／ミスミ,シェル モーリナS2B／ミスミVONA,adsimilarity,adsimilarity,0,5,5,3,2
22,3/20(土)15:30 U-NEXTで生配信,3/20 15:30 U-NEXTでライブ配信,adsimilarity,adsimilarity,0,5,2,5,3
23,お得な定額コースは2980円から,"お得な定額コース【2,980円～】",adsimilarity,adsimilarity,0,5,1,1,8
24,ビズメイツ／Bizmates,Bizmates【ビズメイツ】,adsimilarity,adsimilarity,0,5,3,2,5
25,ルテインサプリを初回980円で,初回980円/ルテインサプリ,adsimilarity,adsimilarity,0,5,0,5,5
26,2021年の新作コレクションが登場,《2021新作コレクションが登場》,adsimilarity,adsimilarity,0,5,1,4,5
27,不動産投資のベルテックス／公式,(公式)不動産投資のベルテックス,adsimilarity,adsimilarity,0,5,0,5,5
28,お申し込みは、２４時間受付中,24時間、お申込み受付中,adsimilarity,adsimilarity,0,5,1,3,6
29,Instagramでの販売も簡単に連携,Instagramと簡単連携・販売OK,adsimilarity,adsimilarity,1,4,1,2,7
30,専用タブレット0円,学習専用タブレットが0円,adsimilarity,adsimilarity,3,2,0,0,0
31,「半年後にはカレの方から…」,『大丈夫。半年後には彼が―』,adsimilarity,adsimilarity,2,3,0,7,3
32,認知度No.1の薬剤師転職サイト,薬剤師転職サイト【認知度No.1】,adsimilarity,adsimilarity,0,5,1,4,5
33,各院／渋谷 新宿 池袋駅から1分,【渋谷 新宿 池袋】 駅徒歩1分,adsimilarity,adsimilarity,1,4,0,3,7
34,DMM Bitcoin/ネム取引,DMMビットコイン/ネム取引,adsimilarity,adsimilarity,0,5,3,3,4
35,12/25(土)21:00 U-NEXTで配信,12/25 21:00 U-NEXTで配信,adsimilarity,adsimilarity,0,5,2,8,0
36,お近くのHonda Carsへ,お近くのホンダカーズへ,adsimilarity,adsimilarity,0,5,4,5,1
37,【無料】資料請求はこちら,【無料資料請求】詳細はコチラ,adsimilarity,adsimilarity,0,5,1,4,5
38,人気の無料コミックが10万話以上,【無料】人気コミック10万話以上,adsimilarity,adsimilarity,0,5,0,0,10
39,《TIME SALE》MAX 70% OFF,《SALE実施中》MAX 70% OFF,adsimilarity,adsimilarity,1,4,1,2,7
40,無料コミック10万話以上を配信,10万話以上の無料コミックを配信,adsimilarity,adsimilarity,0,5,2,7,1
41,【公式】キント／トヨタ自動車,【公式サイト】KINTO／トヨタ,adsimilarity,adsimilarity,0,5,2,2,6
42,あの芸能人の結婚運命が見事的中,あの芸能人の結婚を見事的中,adsimilarity,adsimilarity,1,4,0,2,8
43,無料漫画10万話以上を配信,【無料漫画】10万話以上,adsimilarity,adsimilarity,0,5,0,3,7
44,たった10秒でかんたん見積り,10秒でかんたん見積り,adsimilarity,adsimilarity,0,5,0,8,2
45,3月直前、直前準備を進めよう,3月直前準備を進めよう,adsimilarity,adsimilarity,0,5,2,4,4
46,クッションコンパクト,クッションファンデーション,adsimilarity,adsimilarity,4,1,0,0,0
47,初回980円/ルテインサプリ,初回限定980円ルテインサプリ,adsimilarity,adsimilarity,0,5,1,5,4
48,サイドテーブルワゴン／ミスミ,サイドテーブルワゴンならミスミ,adsimilarity,adsimilarity,0,5,2,4,4
49,《最短2ヶ月》でライターに,《最短2ヶ月》でライターへ,adsimilarity,adsimilarity,0,5,1,9,0
50,官公庁・法人御用達 ご依頼多数,【官公庁・法人様】 ご依頼多数,adsimilarity,adsimilarity,0,5,2,1,7
51,セブン‐イレブン受取り送料無料,セブンイレブン受取りで送料無料,adsimilarity,adsimilarity,0,5,1,2,7
52,月200本 アニメ一挙本数最多,アニメ一挙本数国内最多 月200本,adsimilarity,adsimilarity,2,3,0,6,4
53,公式：メンズTBC,【メンズTBC】公式サイト,adsimilarity,adsimilarity,0,5,2,0,8
54,カービューの車買取,carviewの車買取,adsimilarity,adsimilarity,1,4,1,6,3
55,8/2 13:00開演 U-NEXTで生配信,8/2 13:00 U-NEXTでライブ配信,adsimilarity,adsimilarity,0,5,1,5,4
56,JO MALONEの香水をミニサイズで,ジョーマローンをミニサイズで,adsimilarity,adsimilarity,1,4,0,9,1
57,何としても今日借りたい方必見,何としても今日借りたい方へ,adsimilarity,adsimilarity,0,5,0,7,3
58,住友不動産販売【公式】,【公式ＨＰ】住友不動産販売,adsimilarity,adsimilarity,0,5,1,3,6
59,ガレージバイスメネジ／ミスミ,ガレージバイスメネジならミスミ,adsimilarity,adsimilarity,0,5,1,2,7
60,月々５，０００円から積み立てOK,月々５０００円から積み立て可能,adsimilarity,adsimilarity,0,5,1,4,5
61,Huluなら約10万本の動画が見放題,10万本以上の動画が見放題/Hulu,adsimilarity,adsimilarity,0,5,0,7,3
62,埼玉の銀行でローン借り入れ,埼玉県の銀行でローン借り入れ,adsimilarity,adsimilarity,0,5,4,1,5
63,"初めての注文が＼1,500円／オフ",初回注文が＼1500円／オフ,adsimilarity,adsimilarity,0,5,2,3,5
64,TOYOTA正規販売店,TOYOTA正規ディーラー,adsimilarity,adsimilarity,0,5,5,5,0
65,バリトリビットソフト／ミスミ,バリトリビットソフトならミスミ,adsimilarity,adsimilarity,0,5,1,3,6
66,浄水カートリッジの販売サイト,浄水器のカートリッジ販売サイト,adsimilarity,adsimilarity,0,5,3,3,4
67,高級ブランドもOK【全国対応】,ブランド品もOK【全国対応】,adsimilarity,adsimilarity,0,5,0,6,4
68,"月々2,000円からご返済可能",月々2000円からご返済が可能,adsimilarity,adsimilarity,0,5,3,2,5
69,【公式】マルイウェブチャネル,公式通販：マルイウェブチャネル,adsimilarity,adsimilarity,0,5,2,5,3
70,"月々5,000円から積み立てOK",月々５０００円から積み立て可能,adsimilarity,adsimilarity,0,5,2,7,1
71,姓名判断 / 無料鑑定あり,姓名判断 / 一部無料,adsimilarity,adsimilarity,0,5,0,10,0
72,栃木の銀行でローン借り入れ,栃木県の銀行でローン借り入れ,adsimilarity,adsimilarity,0,5,1,4,5
73,認証jライバー大募集,認証ライバー募集中,adsimilarity,adsimilarity,2,3,1,4,5
74,折りたためる大画面スマホ発売中,折りたためる大画面スマホ新発売,adsimilarity,adsimilarity,0,5,1,1,8
75,自分の髪を、人生で一番美しく,自分の髪を、人生で一番美しく。,adsimilarity,adsimilarity,0,5,6,0,4
76,女性まんがならdブック【公式】,女性漫画ならdブック【公式】,adsimilarity,adsimilarity,0,5,3,1,6
77,バリトリビットソフトならミスミ,バリトリビットソフト／ミスミ,adsimilarity,adsimilarity,0,5,1,5,4
78,メディケア生命保険／公式サイト,メディケア生命 公式サイト,adsimilarity,adsimilarity,0,5,1,8,1
79,甲種4類講座/乙種4類講座,甲種4類講座/乙種4類講座が開講,adsimilarity,adsimilarity,1,4,2,4,4
80,《最短2ヶ月》でライターへ,《最短2ヶ月》でライターに,adsimilarity,adsimilarity,0,5,3,3,4
81,LIXILのトイレリフォーム,リクシルでトイレリフォーム,adsimilarity,adsimilarity,0,5,1,9,0
82,すっぽん黒酢にセラミド贅沢配合,すっぽん黒酢に贅沢セラミドまで,adsimilarity,adsimilarity,0,5,1,8,1
83,栃木県の銀行でローン借り入れ,栃木の銀行でローン借り入れ,adsimilarity,adsimilarity,0,5,1,6,3
84,セブンネットショッピング／公式,【公式】セブンネット,adsimilarity,adsimilarity,1,4,1,4,5
85,あじかん焙煎ごぼう茶,焙煎ごぼう茶のあじかん,adsimilarity,adsimilarity,0,5,2,4,4
86,ビデオブレイン,Video BRAIN,adsimilarity,adsimilarity,0,5,3,4,3
87,Video BRAIN,ビデオブレイン,adsimilarity,adsimilarity,0,5,3,3,4
88,ヒゲ脱毛体験《500円》1／13迄,ヒゲ脱毛体験500円：1／13まで,adsimilarity,adsimilarity,0,5,1,6,3
89,試乗のご予約はこちら,試乗を予約する,adsimilarity,adsimilarity,0,5,2,8,0
90,【見逃し配信】カンブリア宮殿,カンブリア宮殿／見逃し配信なら,adsimilarity,adsimilarity,0,5,1,7,2
91,送料無料／レンズダイレクト,レンズダイレクト/送料無料,adsimilarity,adsimilarity,0,5,3,6,1
92,無料体験学習の予約は1/21から,無料体験学習の予約開始は1/21,adsimilarity,adsimilarity,0,5,1,8,1
93,薬剤師転職サイト【認知度No.1】,認知度No.1の薬剤師転職サイト,adsimilarity,adsimilarity,0,5,1,5,4
94,ご購入をお考えの方,ご購入をご検討の方へ,adsimilarity,adsimilarity,0,5,2,2,6
95,大人気のRAIZEをご紹介,大人気のライズをご紹介,adsimilarity,adsimilarity,0,5,1,8,1
96,24時間、お申込み受付中,お申し込みは、２４時間受付中,adsimilarity,adsimilarity,0,5,1,8,1
97,【公式ＨＰ】住友不動産販売,住友不動産販売【公式】,adsimilarity,adsimilarity,0,5,1,6,3
98,横浜市はは当日翌日スピード工事,横浜市は当日翌日スピード工事,adsimilarity,adsimilarity,1,4,0,0,10
99,パソコン工房【公式】,パソコン工房【公式通販サイト】,adsimilarity,adsimilarity,1,4,1,1,8
100,【公式/予約HP】じゃらんゴルフ,【公式サイト】じゃらんゴルフ,adsimilarity,adsimilarity,1,4,0,7,3
101,Chanelの香水をミニサイズで,シャネルの香水をミニサイズで,adsimilarity,adsimilarity,0,5,0,5,5
102,【初回限定キャンペーン】1000円,"初めての方は初回限定1,000円",adsimilarity,adsimilarity,0,5,1,6,3
103,保険料がお手頃で安心の保障内容,安心保障をお手頃な保険料で,adsimilarity,adsimilarity,1,4,0,7,3
104,ドコモ光(どこも)のご契約なら,ドコモ光の新規契約はこちら,adsimilarity,adsimilarity,0,5,1,3,6
105,Chanelの香水を低価格でお試し,シャネルの香水を低価格でお試し,adsimilarity,adsimilarity,0,5,0,7,3
106,親子のためのベビークモン／公式,親子で楽しくBaby Kumon：公式,adsimilarity,adsimilarity,1,4,0,2,8
107,人気漫画10万話以上が無料,【無料漫画10万話以上】,adsimilarity,adsimilarity,2,3,0,7,3
108,ドモホルンリンクル,CMで話題のドモホルンリンクル,adsimilarity,adsimilarity,3,2,0,0,0
109,期間限定【初期費用0円】,今なら初期費用0円,adsimilarity,adsimilarity,0,5,0,6,4
110,アニメ「今日から俺は」の配信,今日から俺は／配信,adsimilarity,adsimilarity,1,4,0,5,5
111,参加費無料/ウェビナー開催,参加費無料/オンラインセミナー,adsimilarity,adsimilarity,1,4,1,1,8
112,オンラインでできるAGA治療,オンラインでバレずにAGA治療,adsimilarity,adsimilarity,2,3,1,4,5
113,サーバーラックをお探しの方へ,サーバーラックをお探しなら,adsimilarity,adsimilarity,0,5,3,3,4
114,【公式】バンクイック専用ページ,バンクイック／公式サイト,adsimilarity,adsimilarity,0,5,2,3,5
115,安い費用で税理士に丸投げ,低コストで税理士に丸投げ,adsimilarity,adsimilarity,1,4,1,3,6
116,2021初夏新作続々入荷。,2021夏物新作作続々入荷。,adsimilarity,adsimilarity,0,5,2,4,4
117,3/27(土)21時U-NEXTでライブ配信,3/27(土)21:00～U-NEXTで配信,adsimilarity,adsimilarity,1,4,2,4,4
118,おうちﾌｨｯﾄﾈｽ 2週間おためし/ｼﾞﾑ,2週間無料おためし/おうちﾌｨｯﾄﾈｽ,adsimilarity,adsimilarity,3,2,0,0,0
119,車用芳香剤でニオイを除去,車用消臭剤でニオイを除去,adsimilarity,adsimilarity,1,4,1,1,8
120,人気の無料コミックが10万話以上,10万話以上の無料コミックを配信,adsimilarity,adsimilarity,0,5,0,5,5
121,【公式】auPAYマーケット通販,【公式】auPAYマーケット,adsimilarity,adsimilarity,0,5,2,2,6
122,2週間無料おためし/おうちジム,2週間無料おためし/自宅ジム,adsimilarity,adsimilarity,0,5,1,7,2
123,4月から制服リニューアル,来年４月から制服リニューアル,adsimilarity,adsimilarity,3,2,0,0,0
124,カートリッジ交換なら,カートリッジらくらく交換,adsimilarity,adsimilarity,3,2,0,0,0
125,ダンボールならダンボールワン,ダンボール通販のダンボールワン,adsimilarity,adsimilarity,3,2,0,0,0
126,"月々分割4,000円/税抜から","月々分割4,000円～",adsimilarity,adsimilarity,1,4,0,4,6
127,【公式】ビタブリッドCフェイス,ビタブリッドCフェイス【公式】,adsimilarity,adsimilarity,0,5,2,7,1
128,「料金が一番安いのはどれ？」,料金が安いのはどれ？,adsimilarity,adsimilarity,0,5,1,8,1
129,ヤフーの新しい働き方,ヤフーの新しい働き方の取り組み,adsimilarity,adsimilarity,0,5,1,4,5
130,番組「I-LAND」を見る,番組「I-LAND」の配信,adsimilarity,adsimilarity,0,5,1,5,4
131,リクシルでトイレリフォーム,LIXILのトイレリフォーム,adsimilarity,adsimilarity,0,5,1,1,8
132,便通改善／南雲吉則監修ごぼう茶,便通改善／永雲吉則監修ごぼう茶,adsimilarity,adsimilarity,5,0,0,0,0
133,申し込み時登記簿・決算書不要,申込み時の法人登記簿決算書不要,adsimilarity,adsimilarity,0,5,1,7,2
134,全話視聴するなら／dTV（公式）,シリーズ全話配信中／dTV公式,adsimilarity,adsimilarity,0,5,0,4,6
135,あの芸能人の【婚期を的中】,あの芸能人の結婚時期を当てた,adsimilarity,adsimilarity,0,5,2,4,4
136,リフォーム会社を簡単に探せる。,リフォーム会社をラクに探せる。,adsimilarity,adsimilarity,0,5,0,7,3
137,メンズ・レディース商品が豊富に,メンズ・レディース多数展開,adsimilarity,adsimilarity,1,4,2,4,4
138,【人気】無料コミック10万話以上,人気コミック10万話以上無料配信,adsimilarity,adsimilarity,0,5,0,4,6
139,積立投資なら日興,投信積立はじめるなら日興,adsimilarity,adsimilarity,0,5,2,2,6
140,未経験から即戦力へ,未経験から現場が求める即戦力へ,adsimilarity,adsimilarity,0,5,0,5,5
141,かんたん5秒ｱﾝｹｰﾄで２週間無料,今だけ5秒アンケートで2週間無料,adsimilarity,adsimilarity,2,3,0,1,9
142,本気で叶えたい想いがあるなら,本気でかなえたい願いがあるなら,adsimilarity,adsimilarity,0,5,1,5,4
143,インターンシップエントリーなら,インターンシップの申し込みなら,adsimilarity,adsimilarity,0,5,2,5,3
144,【公式】ABEMA／2週間無料,ABEMAプレミアム公式／2週間無料,adsimilarity,adsimilarity,4,1,0,0,0
145,【公式】マイナビ2022EXPO夏の陣,【公式】マイナビWEB EXPO夏の陣,adsimilarity,adsimilarity,4,1,0,0,0
146,最新ソファ«2021秋»,ソファー«2021秋の新作»,adsimilarity,adsimilarity,0,5,1,3,6
147,今だけ5秒アンケートで2週間無料,かんたん5秒ｱﾝｹｰﾄで２週間無料,adsimilarity,adsimilarity,1,4,0,6,4
148,4-6カ月で髪が増えたと実感,4-6カ月で効果を実感,adsimilarity,adsimilarity,4,1,0,0,0
149,10秒でかんたん見積り,たった10秒でかんたん見積り,adsimilarity,adsimilarity,0,5,0,5,5
150,NiziUの映像をARで楽しもう,最新の技術でNiziUをAR化,adsimilarity,adsimilarity,4,1,0,0,0
151,リクナビ2023《公式サイト》,公式サイト《リクナビ2023》,adsimilarity,adsimilarity,0,5,2,6,2
152,【公式】LIMNE の最新マットレス,【公式】LIMNEのマットレス,adsimilarity,adsimilarity,3,2,0,0,0
153,定期保険 ブリッジ（死亡保険）,【ブリッジ】生命保険・死亡保険,adsimilarity,adsimilarity,1,4,2,4,4
154,カードローン審査が不安な方へ,カードローン審査が不安な方必見,adsimilarity,adsimilarity,0,5,2,1,7
155,赤ちゃん撮影の予約はこちら,赤ちゃん写真の予約はこちら,adsimilarity,adsimilarity,0,5,1,5,4
156,パーティ・懇親会もTKPで,TKPのパーティ・懇親会サービス,adsimilarity,adsimilarity,0,5,1,7,2
157,プロのイラストレイターに頼もう,イラスト制作をプロに依頼,adsimilarity,adsimilarity,0,5,0,5,5
158,50歳からの1日6分おうち運動,50歳からの1日6分おうちﾌｨｯﾄﾈｽ,adsimilarity,adsimilarity,0,5,1,7,2
159,ー医療介護求人・転職サイトー,医療介護求人・転職サイト,adsimilarity,adsimilarity,0,5,2,5,3
160,【公式】ガスト宅配(デリバリー),【公式サイト】ガストの宅配,adsimilarity,adsimilarity,0,5,1,4,5
161,教育関連の費用にご利用可能,教育関連にご利用可能なローン,adsimilarity,adsimilarity,4,1,0,0,0
162,簿記二級/合格応援キャンペーン,簿記2級合格キャンペーン,adsimilarity,adsimilarity,2,3,0,9,1
163,2週間無料おためし/自宅ﾌｨｯﾄﾈｽ,2週間無料おためし/自宅ジム,adsimilarity,adsimilarity,0,5,1,4,5
164,11/6- スカパーにて全試合生中継,11月6日～全試合生中継/スカパー,adsimilarity,adsimilarity,0,5,1,2,7
165,口コミ実績重視で本気の願望成就,口コミ多数。本気で願望成就なら,adsimilarity,adsimilarity,1,4,2,3,5
166,英語学習はビズメイツ,英会話ならビズメイツ,adsimilarity,adsimilarity,0,5,0,2,8
167,レストラン食事券が返礼品に,有名レストラン食事券が返礼品に,adsimilarity,adsimilarity,1,4,0,1,9
168,楽天カード/年会費無料,楽天カード/年会費永年無料,adsimilarity,adsimilarity,2,3,0,1,9
169,夏物新作・会員特典（無料）,夏物新作入荷・会員特典（無料）,adsimilarity,adsimilarity,0,5,1,5,4
170,運営14年目の老舗サイト/必見,運営14年目の老舗サイト,adsimilarity,adsimilarity,0,5,2,4,4
171,公式／オフィシャルサイト,【公式通販】オフィシャルHP,adsimilarity,adsimilarity,2,3,0,7,3
172,新しい玄関用の消臭剤,新開発 玄関用の消臭剤,adsimilarity,adsimilarity,0,5,0,3,7
173,鬼滅の刃/ABEMAで配信中,鬼滅の刃／配信中,adsimilarity,adsimilarity,4,1,0,0,0
174,Menicon Miru 阪急茨木店,MeniconMiru阪急茨木店,adsimilarity,adsimilarity,0,5,3,6,1
175,ゴリラクリニック/公式,【公式】ゴリラクリニック,adsimilarity,adsimilarity,0,5,3,0,7
176,親族のみの結婚式場,家族・親族のみの結婚式プラン,adsimilarity,adsimilarity,1,4,1,2,7
177,台所には置き型ファブリーズを,置き型ファブリーズ,adsimilarity,adsimilarity,3,2,0,0,0
178,仕事に育児にお疲れのママへ,疲れが取れないママへ,adsimilarity,adsimilarity,2,3,0,5,5
179,参加費無料/オンラインセミナー,参加費無料/ウェビナー開催,adsimilarity,adsimilarity,2,3,1,9,0
180,あの芸能人の結婚を見事的中,あの芸能人の【婚期を的中】,adsimilarity,adsimilarity,0,5,0,9,1
181,"先着10,000名様限定","毎月先着10,000名様限定",adsimilarity,adsimilarity,3,2,0,0,0
182,刀剣コスプレ写真を応募しよう,刀剣コスプレ写真コンテスト,adsimilarity,adsimilarity,2,3,2,4,4
183,ネットもテレ東で見よう,ネットもテレ東で配信中,adsimilarity,adsimilarity,0,5,2,2,6
184,親子で一緒にBaby Kumon／公式,【公式】Baby Kumon,adsimilarity,adsimilarity,2,3,0,5,5
185,くもん出版のドリル,くもん出版の幼児ドリル,adsimilarity,adsimilarity,3,2,0,0,0
186,4月号の最終締切日は4/25,4月号のオススメ締切日は4/25,adsimilarity,adsimilarity,2,3,0,8,2
187,感染予防徹底レッスンスタジオ,感染予防徹底ダンススタジオ,adsimilarity,adsimilarity,3,2,0,0,0
188,無料コミック10万話以上が読める,【人気コミック】10万話以上無料,adsimilarity,adsimilarity,1,4,0,3,7
189,【公式】FEMMUE／シートマスク,【FEMMUE(ファミュ)公式】,adsimilarity,adsimilarity,3,2,0,0,0
