index,ad1,ad2,source_ad1,source_ad2,count.nonparaphrase,count.paraphrase,count.preference_skip,count.preference_ad1,count.preference_ad2
775,かんたん5分でシミュレーション,「5分で簡単」シミュレーション,camera,human,0,5,0,3,7
776,レイトチェックアウト可能プラン,レイトチェックアウトOKなプラン,camera,human,0,5,2,2,6
777,【登戸でおすすめ】美容院,美容院おすすめ／登戸,camera,human,0,5,2,2,6
778,"初月のAGA治療費は1,000円のみ","「初月は1,000円だけ」AGA治療費",camera,human,0,5,2,2,6
779,かまいたちCM出演中,かまいたちCM出演中／男性のAGA,camera,human,3,2,0,0,0
780,保険料は一生涯上がりません,一生上がらない保険料なら,camera,human,0,5,0,8,2
781,レガリアベッド／最低価格保証,レガリアベッド【最低価格保証】,camera,human,0,5,3,3,4
782,司法書士 料金表 相続,司法書士／料金表／相続,camera,human,0,5,4,1,5
783,クラウドPBXおすすめ比較,【おすすめ比較】クラウドPBX,camera,human,1,4,1,2,7
784,美瑛の温泉の宿予約,美瑛の温泉【宿を予約】,camera,human,0,5,1,3,6
785,VRを活用した体験型学校教育,「VRを活用」体験型学校教育,camera,human,0,5,1,6,3
786,お金を借りるなら、どこがいい？,どこがいい？お金を借りるなら,camera,human,0,5,0,10,0
787,料金比較でお得にホテル予約,ホテル予約は料金比較でお得に,camera,human,0,5,1,4,5
788,はじめての脱毛デビューなら,はじめての脱毛なら,camera,human,0,5,1,2,7
789,人探し探偵 おすすめランキング,人探し探偵／おすすめランキング,camera,human,0,5,5,0,5
790,中目黒で当日給料手渡し可能,当日給料手渡しOK／中目黒,camera,human,0,5,0,3,7
791,【公式】ピッコマ／待てば無料,「待てば無料」ピッコマ公式,camera,human,0,5,1,6,3
792,2024新卒 IT向け就活サイト,【2024新卒】IT向け就活サイト,camera,human,0,5,3,1,6
793,今すぐネットでかんたん見積り,"""ネットでかんたん""今すぐ見積り",camera,human,0,5,1,3,6
794,低金利の金融機関も比較できる,比較もできる／低金利の金融機関,camera,human,0,5,1,3,6
795,人気の女性向け医療保険,【女性向け】人気の医療保険,camera,human,0,5,0,0,10
796,有馬温泉 最安値ホテル,最安値ホテル＠有馬温泉,camera,human,0,5,3,5,2
797,すぐに保険の見積もりができます,「すぐにできる」保険の見積もり,camera,human,0,5,0,2,8
798,dodaは公務員の転職に強い,「公務員の転職に強い」doda,camera,human,0,5,0,2,8
799,このペット保険デメリットある？,デメリットある？このペット保険,camera,human,0,5,1,4,5
800,梅田 ホテル 予約,梅田のホテル予約なら,camera,human,0,5,1,2,7
801,今の電気代と比較してください,今の電気代と比較してほしい,camera,human,0,5,1,6,3
802,学校で美容を学ぼう！,美容を学べる学校なら,camera,human,0,5,0,6,4
803,【必見】車の保険、最安値で！,最安値で車の保険を探す方、必見,camera,human,0,5,0,8,2
804,andar通販でセール開催！,【セール開催中】andar通販,camera,human,0,5,0,1,9
805,mitsuiでショッピングを楽しむ！,ショッピングを楽しむならmitsui,camera,human,0,5,0,2,8
806,歯並び矯正なら月4300円！,"【￥4,300/月】の歯並び矯正",camera,human,0,5,1,5,4
807,介護転職ランキングTOP3！,介護転職ランキング人気3選,camera,human,0,5,1,3,6
808,アートスキル、OCHABIで磨く,アート力を磨くならOCHABI,camera,human,0,5,1,6,3
809,【大阪】脱毛ならこの5つ！,大阪で脱毛、おすすめ5選,camera,human,0,5,1,4,5
810,最新！借入れ住宅ローン一覧,(2024年版)借入れ在宅ローン一覧,camera,human,4,1,0,0,0
811,一戸建て査定、すぐに知ろう！,あなたの一戸建て、今すぐ査定,camera,human,1,4,0,2,8
812,24卒新卒の転職はこちらから,転職するなら【24卒・新卒向け】,camera,human,0,5,0,3,7
813,介護事務パート、1日1時間〜OK,1日1h〜働く介護事務 パート求人,camera,human,0,5,0,9,1
814,珍宴で極上の中国料理を,珍宴で本場中国料理を楽しむ,camera,human,2,3,1,3,6
815,保険料、見直して節約！,保険料見直しでお得に生活,camera,human,0,5,0,6,4
816,戸建て探しは曳舟で決まり！,曳舟で理想の戸建てを探す,camera,human,0,5,0,4,6
817,オンラインでAGA治療始めよう,オンラインで始められる AGA治療,camera,human,0,5,2,2,6
818,安い任意保険、今すぐ比較,【安さで比較】任意保険,camera,human,0,5,0,2,8
819,北海道で不動産転職！,北海道で不動産転職なら,camera,human,0,5,2,5,3
820,人気のペット保険、見ましたか？,人気商品はどれ？【ペット保険】,camera,human,2,3,0,4,6
821,女性向け！秋冬トレンドシューズ,AWトレンドの女性用シューズなら,camera,human,3,2,0,0,0
822,人気の車リース、その理由は？,人気の理由は？【車リース】,camera,human,0,5,1,2,7
823,"""ラキューテでお得に買物！""",おトクな買い物はラキューテで,camera,human,0,5,1,6,3
824,高松市で最高のホテル,高松市で最高のホテルは？,camera,human,0,5,0,7,3
825,"""市川駅近！理想の戸建て""",市川の駅チカ【理想の戸建て】,camera,human,0,5,2,4,4
826,教習ローンなら学生もOK!,学生もOKの教習ローンあります,camera,human,0,5,2,3,5
827,関内の人気ネイルサロン,関内で人気のネイルサロンなら,camera,human,0,5,1,3,6
828,ハップヘアメイクで新髪型,ハップヘアメイクでイメチェン,camera,human,1,4,1,1,8
829,中標津空港近くの便利ホテル,中標津空港近くに泊まるなら,camera,human,1,4,0,4,6
830,「映像学ぶなら専門講座へ」,「専門講座で映像を学びたい」,camera,human,1,4,1,5,4
831,じぶん銀行カーローン金利低め,低金利／じぶん銀行カーローン,camera,human,0,5,1,3,6
832,柳瀬川のトップクラス美容院,柳瀬川でトップクラスの美容院,camera,human,0,5,2,1,7
833,浦和で理想の戸建てを！,浦和で理想の戸建てが見つかる,camera,human,0,5,0,4,6
834,カードローンなら銀行安心！,安心の銀行カードローン,camera,human,1,4,0,0,10
835,歯並び矯正なら月4300円！,"月4,300円で歯並び矯正ができる",camera,human,0,5,0,3,7
836,遺産相続、家や土地を効率的に,家や土地【効率的に遺産相続】,camera,human,2,3,2,4,4
837,人気のペット保険、見ましたか？,見逃してない？人気のペット保険,camera,human,1,4,1,1,8
838,【最速】auひかりを体感せよ,auひかり【最速】を体感せよ,camera,human,0,5,0,6,4
839,【関内でおすすめ】ネイル,【関内】注目のネイルサロン,camera,gpt4,0,5,0,2,8
840,ギフト券を高く売れる高換金率店,売ギフト券は高額買取保証,camera,gpt4,4,1,0,0,0
841,"ネット申込みで最大21,000円割引",ネットで最大21K円オフ！,camera,gpt4,3,2,0,0,0
842,プロ直伝の動画クリエイター講座,"""プロが教える!映像制作講座""",camera,gpt4,1,4,1,4,5
843,【公式】バーミヤンの持ち帰り,【公式】美味バーミヤン持帰特典,camera,gpt4,4,1,0,0,0
844,【厳選3社】即日キャッシング,【即日融資】選ばれし3社サービス,camera,gpt4,1,4,2,6,2
845,【2022年】人気ペット保険を比較,【今年注目】ペット保険徹底比較,camera,gpt4,5,0,0,0,0
846,医師によるスピード発毛治療,医師推奨！迅速発毛ケア,camera,gpt4,3,2,0,0,0
847,【12月限定】年末特別価格,【12月限定】お得に年末応援価格,camera,gpt4,0,5,0,6,4
848,【最新版】医療脱毛おすすめTOP5,【2023年版】医療脱毛ランク5選,camera,gpt4,2,3,1,7,2
849,【至急】お金が必要ならこの4社,【即解決】急ぎの資金調達4社対応,camera,gpt4,0,5,1,6,3
850,ダンボール箱即日配達いたします,即日配送！ダンボール箱,camera,gpt4,0,5,1,3,6
851,バレずにお金借りるならこの3社,気づかれずスマートに借入可能,camera,gpt4,4,1,0,0,0
852,【本日更新】看護師の求人,【最新】看護師のチャンス!,camera,gpt4,5,0,0,0,0
853,各社の死亡保険を比較できる,死亡保険、一括比較で安心,camera,gpt4,2,3,0,6,4
854,トリバゴのおすすめ旅館,マッチする旅館、トリバゴ,camera,gpt4,4,1,0,0,0
855,IT資産管理が簡単にできる,IT管理、手軽に完璧に,camera,gpt4,2,3,1,3,6
856,歯並びを1日で治すならこちら,即日完結！美歯列治療はここ,camera,gpt4,1,4,0,6,4
857,カンタン無料お見積り,「無料」で「即見積」簡単取得！,camera,gpt4,2,3,0,9,1
858,【300円】から始めるAGA治療,【300円】で始める薄毛改善,camera,gpt4,3,2,0,0,0
859,【公式】スクールIE／個別指導,【公式】スクールIE・マンツーマン教育,camera,gpt4,1,4,0,9,1
860,【最新2022年】人気がん保険TOP5,【2022年必見】注目のがん保険５選,camera,gpt4,1,4,0,8,2
861,エアコン掃除はプロにお任せ,プロが仕上げる清潔空間,camera,gpt4,5,0,0,0,0
862,今日中にお金借りるならこの３社,即日融資可能な３選!,camera,gpt4,0,5,0,5,5
863,自分たちの予算に合った結婚式,お二人らしい結婚式を予算内で,camera,gpt4,0,5,0,4,6
864,医療保険の見直ししませんか？,不安解消！医療保険チェック,camera,gpt4,2,3,1,6,3
865,ワキガ対策/切らずに1回で完了,ノンカットでワキガ完治!,camera,gpt4,3,2,0,0,0
866,今すぐオンライン診療予約,即時ネットで診療予約,camera,gpt4,1,4,0,8,2
867,最大91％OFF / 給湯器交換,驚愕91%OFF! 給湯器即交換,camera,gpt4,1,4,1,6,3
868,高校で【美容師免許】が取れる,高校在学中に美容師資格,camera,gpt4,0,5,0,4,6
869,12月キャンペーン/残り21 日,冬を彩る限定オファー/残21日間,camera,gpt4,3,2,0,0,0
870,【六本木一丁目】整体サロン予約,六本木一丁目の癒し空間予約,camera,gpt4,4,1,0,0,0
871,不倫で慰謝料請求されたら,不倫トラブル？慰謝料対策！,camera,gpt4,2,3,1,6,3
872,働きながら学べる動画編集,スキルUP！仕事中動画編集学習,camera,gpt4,3,2,0,0,0
873,土地の価格評価を調べるなら,土地価値はここで即チェック,camera,gpt4,1,4,1,3,6
874,睡眠中に美肌。寝ながら贅沢ケア,夜の間に美肌実現。贅沢ケア。,camera,gpt4,1,4,1,6,3
875,所持金0円でも働ける寮付き求人,手ぶらで始める寮完備仕事,camera,gpt4,3,2,0,0,0
876,留学保険／主要10社を徹底比較,留学保険は比較で選ぶ!主要10社完全マスター,camera,gpt4,0,5,0,8,2
877,今すぐお金が必要ならこの4社,即金を掴むなら、この4選,camera,gpt4,2,3,1,7,2
878,車一括査定はやめたほうがいい？,車査定、本当はNG？【要注意】,camera,gpt4,2,3,0,2,8
879,【漫画読み放題】7日間完全無料,【無限マンガ読み】0円で7日間！,camera,gpt4,1,4,1,9,0
880,【公式】チャレンジ3年生,【公式】3年生応援教材,camera,gpt4,3,2,0,0,0
881,求人掲載したい企業・店舗様向け,企業・店舗の求人効果UP,camera,gpt4,3,2,0,0,0
882,銀行カードローンはどこが良い？,最適なカードローン探し,camera,gpt4,3,2,0,0,0
883,低価格でおもてなし重視の結婚式,絶妙価格で心温まる式,camera,gpt4,5,0,0,0,0
884,"【HIS】日帰りバス6,800円～","【HIS】6,800円～日帰り快適バス",camera,gpt4,0,5,0,5,5
885,【日本最大】Creema(クリーマ),【国内最大級】Creemaで発見！,camera,gpt4,0,5,0,4,6
886,東京でブランド品、高価買取,東京高級ブランド即金買取,camera,gpt4,2,3,0,6,4
887,eスポーツを極める専門校,eスポーツの頂点を目指せ!,camera,gpt4,4,1,0,0,0
888,60日間でWebデザイナーを目指す,60日で夢のウェブデザイン,camera,gpt4,3,2,0,0,0
889,あなたのマンション今いくら？,今のマンション、高値で売れる?,camera,gpt4,2,3,0,8,2
890,AGA治療の費用はお薬代のみ,AGA撃退、薬代だけでOK!,camera,gpt4,0,5,2,6,2
891,求人募集 福岡をお探しの企業様,企業向け！福岡の求人掲載,camera,gpt4,1,4,1,1,8
892,社内の稟議・決裁をWeb上で完結,Webで稟議・決裁をスピード解決,camera,gpt4,2,3,1,3,6
893,求人の出し方にお困りなら,採用課題を即解決！,camera,gpt4,5,0,0,0,0
894,エアコン掃除はプロにお任せ,プロが綺麗にエアコン清掃,camera,gpt4,0,5,0,7,3
895,1日でできるLIXILの「まど断熱」,即日完了！LIXIL断熱窓,camera,gpt4,1,4,1,3,6
896,クレカ 審査なし,即時発行！クレジットカード,camera,gpt4,4,1,0,0,0
897,正職員登用制度あり,安定した未来への扉,camera,gpt4,5,0,0,0,0
898,桜木町のホテル【最安値】予約,春の桜木町【特別価格】宿泊,camera,gpt4,5,0,0,0,0
899,1日1時間〜OK女性向け時短パート,女性に優しい短時間バイト,camera,gpt4,4,1,0,0,0
900,飛騨古川温泉の宿予約,秘湯・飛騨古川で癒し宿泊,camera,gpt4,2,3,0,3,7
901,他社の見積書提示でさらに割引,見積書持参で特別割引,camera,gpt4,2,3,0,8,2
902,クラウドだから常に最新の機能,いつでも最先端、クラウド更新,camera,gpt4,2,3,0,6,4
903,安中市 建売価格が安い順で探す,安中市 建売低価格でピックアップ,camera,gpt4,0,5,0,3,7
904,アゴダで格安のホテル予約,お手頃価格で夢の宿を予約,camera,gpt4,5,0,0,0,0
905,給与計算業務アウトソーシング,給与計算はお任せあれ!,camera,gpt4,2,3,0,4,6
906,複数の保険を簡単比較,簡単！保険比較でベスト選択,camera,gpt4,0,5,0,4,6
907,京都 伏見駅の格安ホテル,伏見駅至近!お得に泊まる,camera,gpt4,1,4,0,6,4
908,かんたん5分でシミュレーション,手軽に5分で理想診断,camera,gpt4,2,3,0,6,4
909,レイトチェックアウト可能プラン,ゆっくり出発OKの宿泊プラン,camera,gpt4,2,3,0,2,8
910,【登戸でおすすめ】美容院,【登戸】高評価サロン発見！,camera,gpt4,3,2,0,0,0
911,"初月のAGA治療費は1,000円のみ",初月たった1000円でAGA治療,camera,gpt4,0,5,1,6,3
912,かまいたちCM出演中,鮮烈！かまいたちのCM登場,camera,gpt4,0,5,1,3,6
913,保険料は一生涯上がりません,一生涯保険料不変です,camera,gpt4,0,5,0,8,2
914,レガリアベッド／最低価格保証,驚きの価格！レガリアベッド,camera,gpt4,4,1,0,0,0
915,司法書士 料金表 相続,相続手続きは司法書士へ,camera,gpt4,5,0,0,0,0
916,クラウドPBXおすすめ比較,PBX選びに迷ったらココ,camera,gpt4,4,1,0,0,0
917,美瑛の温泉の宿予約,美瑛温泉、宿の予約はこちら,camera,gpt4,0,5,0,2,8
918,VRを活用した体験型学校教育,VRで学ぶ！体感型教育革命,camera,gpt4,2,3,0,2,8
919,お金を借りるなら、どこがいい？,あなたにぴったり金融案内！ ,camera,gpt4,4,1,0,0,0
920,料金比較でお得にホテル予約,最安値保証！ホテル予約,camera,gpt4,5,0,0,0,0
921,はじめての脱毛デビューなら,初脱毛は当店でキレイに,camera,gpt4,2,3,0,8,2
922,人探し探偵 おすすめランキング,人探しの名探偵 厳選リスト,camera,gpt4,4,1,0,0,0
923,中目黒で当日給料手渡し可能,,camera,gpt4,5,0,0,0,0
924,【公式】ピッコマ／待てば無料,【公式】0円で読書を満喫,camera,gpt4,5,0,0,0,0
925,2024新卒 IT向け就活サイト,2024卒必見！IT就活応援サイト,camera,gpt4,0,5,0,1,9
926,今すぐネットでかんたん見積り,即時ネット簡単見積もり,camera,gpt4,0,5,1,6,3
927,低金利の金融機関も比較できる,金融比較で低金利を発見,camera,gpt4,1,4,0,9,1
928,人気の女性向け医療保険,女性が選ぶベスト保険,camera,gpt4,4,1,0,0,0
929,有馬温泉 最安値ホテル,格安！有馬温泉の極上宿,camera,gpt4,3,2,0,0,0
930,すぐに保険の見積もりができます,即時・保険見積もり実現,camera,gpt4,0,5,2,5,3
931,dodaは公務員の転職に強い,公務員転職もdodaにお任せ,camera,gpt4,0,5,0,4,6
932,このペット保険デメリットある？,ペット保険、疑問を解消!,camera,gpt4,4,1,0,0,0
933,梅田 ホテル 予約,梅田で快適ホテル予約,camera,gpt4,0,5,1,2,7
934,今の電気代と比較してください,電気代、見直しませんか？,camera,gpt4,1,4,0,5,5
935,学校で美容を学ぼう！,学び舎で美の技を習得！,camera,gpt4,2,3,1,4,5
936,【必見】車の保険、最安値で！,【速報】車保険、衝撃の低価格！,camera,gpt4,1,4,1,4,5
937,andar通販でセール開催！,andarセール！今すぐクリック,camera,gpt4,1,4,1,6,3
938,mitsuiでショッピングを楽しむ！,三井で選ぶ、お買い物快感！,camera,gpt4,2,3,2,3,5
939,歯並び矯正なら月4300円！,スマイル応援！月々4300円！,camera,gpt4,4,1,0,0,0
940,介護転職ランキングTOP3！,介護・転職の頂点3選！,camera,gpt4,0,5,0,9,1
941,アートスキル、OCHABIで磨く,驚きのアート技能、OCHABI,camera,gpt4,3,2,0,0,0
942,【大阪】脱毛ならこの5つ！,【大阪】話題の脱毛5選！,camera,gpt4,0,5,1,1,8
943,最新！借入れ住宅ローン一覧,最先端！住宅ローン比較表,camera,gpt4,2,3,1,3,6
944,一戸建て査定、すぐに知ろう！,即答！一戸建て査定価格,camera,gpt4,0,5,0,1,9
945,24卒新卒の転職はこちらから,24卒のキャリア、ここから始動,camera,gpt4,4,1,0,0,0
946,介護事務パート、1日1時間〜OK,介護事務、1h〜柔軟対応可能,camera,gpt4,3,2,0,0,0
947,珍宴で極上の中国料理を,極品中華、至高の珍宴を,camera,gpt4,1,4,0,5,5
948,保険料、見直して節約！,保険料削減！今すぐ見直し,camera,gpt4,1,4,0,4,6
949,戸建て探しは曳舟で決まり！,曳舟で理想の一軒家を！,camera,gpt4,2,3,1,3,6
950,オンラインでAGA治療始めよう,ネットで手軽にAGA対策,camera,gpt4,2,3,1,2,7
951,安い任意保険、今すぐ比較,低価格で選ぶ保険比較,camera,gpt4,3,2,0,0,0
952,北海道で不動産転職！,北の地でキャリアUP！,camera,gpt4,4,1,0,0,0
953,人気のペット保険、見ましたか？,注目のペット保険、チェック済？,camera,gpt4,0,5,0,5,5
954,女性向け！秋冬トレンドシューズ,秋冬必見！レディースシューズ,camera,gpt4,1,4,1,8,1
955,人気の車リース、その理由は？,人気車リースの秘密、公開！,camera,gpt4,0,5,0,5,5
956,"""ラキューテでお得に買物！""","""ラキューテ限定！大特価セール""",camera,gpt4,3,2,0,0,0
957,高松市で最高のホテル,高松市の最上級ホテル,camera,gpt4,1,4,0,1,9
958,"""市川駅近！理想の戸建て""",市川駅スグ！夢の一戸建て,camera,gpt4,0,5,0,5,5
959,教習ローンなら学生もOK!,学生応援！教習ローン可,camera,gpt4,0,5,1,5,4
960,関内の人気ネイルサロン,関内注目！ネイルの極み,camera,gpt4,3,2,0,0,0
961,ハップヘアメイクで新髪型,魅力爆発！新ヘアで自信UP,camera,gpt4,5,0,0,0,0
962,中標津空港近くの便利ホテル,中標津空港そば快適宿,camera,gpt4,0,5,0,9,1
963,「映像学ぶなら専門講座へ」,「映像制作は専門講座で習得」,camera,gpt4,0,5,0,8,2
964,じぶん銀行カーローン金利低め,自分仕様の低金利カーローン,camera,gpt4,4,1,0,0,0
965,柳瀬川のトップクラス美容院,柳瀬川の美容の星、輝くサロン,camera,gpt4,4,1,0,0,0
966,浦和で理想の戸建てを！,浦和の夢のマイホーム！,camera,gpt4,1,4,0,5,5
967,カードローンなら銀行安心！,即日融資可！銀行の安心感,camera,gpt4,3,2,0,0,0
968,歯並び矯正なら月4300円！,"月¥4,300で美歯列へ変身！",camera,gpt4,0,5,0,7,3
969,遺産相続、家や土地を効率的に,家・土地相続スムーズに,camera,gpt4,3,2,0,0,0
970,人気のペット保険、見ましたか？,注目のペット保険、チェック済？,camera,gpt4,0,5,1,1,8
971,【最速】auひかりを体感せよ,【驚速体感】auひかりで快適!,camera,gpt4,1,4,0,4,6
972,【関内でおすすめ】ネイル,【関内の必須アイテム】ネイル,camera,gpt35,4,1,0,0,0
973,ギフト券を高く売れる高換金率店,最高換金率のギフト券買取店,camera,gpt35,1,4,0,2,8
974,"ネット申込みで最大21,000円割引","ネット特典 最大21,000円 OFF",camera,gpt35,0,5,0,7,3
975,プロ直伝の動画クリエイター講座,プロの動画クリエイター講座,camera,gpt35,1,4,0,8,2
976,【公式】バーミヤンの持ち帰り,【公式】バーミヤンのテイクアウト,camera,gpt35,0,5,1,2,7
977,【厳選3社】即日キャッシング,【最短即日】キャッシングOK,camera,gpt35,4,1,0,0,0
978,【2022年】人気ペット保険を比較,2022年新作！ペット保険を比較,camera,gpt35,1,4,0,8,2
979,医師によるスピード発毛治療,医師監修の発毛治療,camera,gpt35,4,1,0,0,0
980,【12月限定】年末特別価格,【12月限定】年末特価！,camera,gpt35,0,5,0,5,5
981,【最新版】医療脱毛おすすめTOP5,【最新】医療脱毛おすすめランキング,camera,gpt35,0,5,1,6,3
982,【至急】お金が必要ならこの4社,急ぎ！お金を手に入れるならこの4社,camera,gpt35,0,5,0,8,2
983,ダンボール箱即日配達いたします,即日配達のダンボール箱,camera,gpt35,0,5,0,6,4
984,バレずにお金借りるならこの3社,バレずに借入可能！この3社,camera,gpt35,1,4,1,3,6
985,【本日更新】看護師の求人,【本日募集】看護師の求人,camera,gpt35,1,4,1,7,2
986,各社の死亡保険を比較できる,最適な死亡保険を比較,camera,gpt35,1,4,0,4,6
987,トリバゴのおすすめ旅館,トリバゴの高評価旅館,camera,gpt35,1,4,0,7,3
988,IT資産管理が簡単にできる,IT資産を簡単に管理,camera,gpt35,0,5,1,5,4
989,歯並びを1日で治すならこちら,瞬時に歯並びを整えます!,camera,gpt35,5,0,0,0,0
990,カンタン無料お見積り,カンタン見積もり無料,camera,gpt35,0,5,2,5,3
991,【300円】から始めるAGA治療,AGA治療【300円】から,camera,gpt35,0,5,1,6,3
992,【公式】スクールIE／個別指導,【公式】スクールIE／完全個別指導,camera,gpt35,0,5,0,1,9
993,【最新2022年】人気がん保険TOP5,【最新2022年】がん保険ランキングTOP5,camera,gpt35,0,5,1,6,3
994,エアコン掃除はプロにお任せ,プロに依頼してエアコンの掃除をお任せ,camera,gpt35,1,4,0,9,1
995,今日中にお金借りるならこの３社,今日借りたいならこの3社,camera,gpt35,0,5,1,8,1
996,自分たちの予算に合った結婚式,お手頃価格での結婚式,camera,gpt35,3,2,0,0,0
997,医療保険の見直ししませんか？,医療保険見直し、いかが？,camera,gpt35,0,5,1,8,1
998,ワキガ対策/切らずに1回で完了,1回で完了！ワキガ対策,camera,gpt35,3,2,0,0,0
999,今すぐオンライン診療予約,オンラインで診療予約始めましょう,camera,gpt35,0,5,1,8,1
1000,最大91％OFF / 給湯器交換,お得な91％OFF / 給湯器交換,camera,gpt35,0,5,0,3,7
1001,高校で【美容師免許】が取れる,美容師免許が高校で取得可能,camera,gpt35,0,5,0,8,2
1002,12月キャンペーン/残り21 日,年末セール/残り21日,camera,gpt35,3,2,0,0,0
1003,【六本木一丁目】整体サロン予約,「六本木1丁目で整体予約」,camera,gpt35,0,5,1,9,0
1004,不倫で慰謝料請求されたら,不倫で慰謝料トラブル？,camera,gpt35,2,3,1,5,4
1005,働きながら学べる動画編集, 動画編集を仕事と並行して学べます,camera,gpt35,0,5,0,7,3
1006,土地の価格評価を調べるなら,土地価格の検索なら,camera,gpt35,0,5,1,6,3
1007,睡眠中に美肌。寝ながら贅沢ケア,美肌寝ながら贅沢ケア,camera,gpt35,0,5,0,6,4
1008,所持金0円でも働ける寮付き求人,寮費無料！0円でも働ける求人,camera,gpt35,1,4,0,5,5
1009,留学保険／主要10社を徹底比較,留学保険／主要10社と比較,camera,gpt35,0,5,0,10,0
1010,今すぐお金が必要ならこの4社,急な出費にはこの4社,camera,gpt35,0,5,0,6,4
1011,車一括査定はやめたほうがいい？,車一括査定の注意点,camera,gpt35,3,2,0,0,0
1012,【漫画読み放題】7日間完全無料,【マンガ読み放題】7日間無料体験,camera,gpt35,0,5,1,2,7
1013,【公式】チャレンジ3年生,【公式】一流のスキルを身につけよう,camera,gpt35,5,0,0,0,0
1014,求人掲載したい企業・店舗様向け,採用力UP！求人広告,camera,gpt35,5,0,0,0,0
1015,銀行カードローンはどこが良い？,銀行カードローン、どこが一番？,camera,gpt35,3,2,0,0,0
1016,低価格でおもてなし重視の結婚式,お手頃価格でおもてなし重視の結婚式,camera,gpt35,0,5,1,6,3
