index,ad1,ad2,source_ad1,source_ad2,count.nonparaphrase,count.paraphrase,count.preference_skip,count.preference_ad1,count.preference_ad2
1017,"【HIS】日帰りバス6,800円～","【HIS】日帰りバス6,800円～ - 新たな情報を追加、または情報を削除せずに魅力的に言い換えることはできません。",camera,gpt35,4,1,0,0,0
1018,【日本最大】Creema(クリーマ),【日本最大】Creema(クリーマ) - 手作り品のマーケットプレイス,camera,gpt35,2,3,0,3,7
1019,東京でブランド品、高価買取,東京で人気のブランド品を高価買取,camera,gpt35,0,5,0,5,5
1020,eスポーツを極める専門校,eスポーツ専門校,camera,gpt35,0,5,0,6,4
1021,60日間でWebデザイナーを目指す,- 60日でWebデザイナーになろう,camera,gpt35,1,4,0,9,1
1022,あなたのマンション今いくら？,マンションの価値、チェック！,camera,gpt35,1,4,1,7,2
1023,AGA治療の費用はお薬代のみ,AGA治療の費用はお薬代のみOK,camera,gpt35,0,5,1,7,2
1024,求人募集 福岡をお探しの企業様,福岡の求人募集、企業さま,camera,gpt35,3,2,0,0,0
1025,社内の稟議・決裁をWeb上で完結,オンラインで社内の稟議・決裁完結,camera,gpt35,1,4,0,3,7
1026,求人の出し方にお困りなら,求人広告の作成は難しいですか？,camera,gpt35,4,1,0,0,0
1027,エアコン掃除はプロにお任せ,プロの手でエアコン掃除,camera,gpt35,1,4,2,6,2
1028,1日でできるLIXILの「まど断熱」,1日で完成！LIXIL「まど断熱」,camera,gpt35,0,5,0,4,6
1029,クレカ 審査なし,簡単クレカ OK,camera,gpt35,4,1,0,0,0
1030,正職員登用制度あり,新卒歓迎,camera,gpt35,5,0,0,0,0
1031,桜木町のホテル【最安値】予約,桜木町のホテル【超お得】予約,camera,gpt35,2,3,0,6,4
1032,1日1時間〜OK女性向け時短パート,魅力的なアイデアを考える時間は1時間だけ！,camera,gpt35,5,0,0,0,0
1033,飛騨古川温泉の宿予約,飛騨温泉宿泊予約,camera,gpt35,0,5,3,3,4
1034,他社の見積書提示でさらに割引,見積提示でさらに割引,camera,gpt35,1,4,2,4,4
1035,クラウドだから常に最新の機能,最新機能満載のクラウド,camera,gpt35,0,5,0,2,8
1036,安中市 建売価格が安い順で探す,安中市で最もお得な建売りを探そう,camera,gpt35,3,2,0,0,0
1037,アゴダで格安のホテル予約,アゴダでお得なホテル予約,camera,gpt35,0,5,1,6,3
1038,給与計算業務アウトソーシング,給与計算のプロにお任せ,camera,gpt35,2,3,0,3,7
1039,複数の保険を簡単比較,お得な保険を簡単比較,camera,gpt35,2,3,0,3,7
1040,京都 伏見駅の格安ホテル,京都 伏見駅のお得な宿,camera,gpt35,1,4,0,4,6
1041,かんたん5分でシミュレーション,5分で簡単シミュレーション,camera,gpt35,0,5,0,4,6
1042,レイトチェックアウト可能プラン,"最大15文字で制作する必要があります。 ""レイトチェックアウト可能""",camera,gpt35,5,0,0,0,0
1043,【登戸でおすすめ】美容院,【登戸注目】美容院,camera,gpt35,0,5,0,8,2
1044,"初月のAGA治療費は1,000円のみ","1ヶ月AGA治療費わずか1,000円",camera,gpt35,2,3,0,8,2
1045,かまいたちCM出演中,かまいたち話題沸騰,camera,gpt35,5,0,0,0,0
1046,保険料は一生涯上がりません,- 一生涯安心の保険料,camera,gpt35,3,2,0,0,0
1047,レガリアベッド／最低価格保証,最安値保証／レガリアベッド,camera,gpt35,0,5,1,4,5
1048,司法書士 料金表 相続,相続手続きは司法書士にお任せ,camera,gpt35,5,0,0,0,0
1049,クラウドPBXおすすめ比較,クラウドPBX比較最適化,camera,gpt35,2,3,1,7,2
1050,美瑛の温泉の宿予約,美瑛温泉の宿予約,camera,gpt35,0,5,2,1,7
1051,VRを活用した体験型学校教育,VRで学ぼう！,camera,gpt35,3,2,0,0,0
1052,お金を借りるなら、どこがいい？,急な出費も安心！最適な借り方は？,camera,gpt35,5,0,0,0,0
1053,料金比較でお得にホテル予約,ホテル予約をお得に！比較して探そう,camera,gpt35,0,5,0,7,3
1054,はじめての脱毛デビューなら,脱毛初心者におすすめ,camera,gpt35,0,5,0,7,3
1055,人探し探偵 おすすめランキング,失踪者探偵ランキング,camera,gpt35,3,2,0,0,0
1056,中目黒で当日給料手渡し可能,当日給料手渡し可能！,camera,gpt35,4,1,0,0,0
1057,【公式】ピッコマ／待てば無料,「【公式】ピッコマ／待つと無料」,camera,gpt35,0,5,2,6,2
1058,2024新卒 IT向け就活サイト,新卒向けIT求人サイト 2024,camera,gpt35,0,5,1,8,1
1059,今すぐネットでかんたん見積り,即見積もりできます,camera,gpt35,4,1,0,0,0
1060,低金利の金融機関も比較できる,金利比較できる,camera,gpt35,2,3,0,8,2
1061,人気の女性向け医療保険,女性に人気の医療保険,camera,gpt35,0,5,0,2,8
1062,有馬温泉 最安値ホテル,有馬温泉 オトクな宿,camera,gpt35,3,2,0,0,0
1063,すぐに保険の見積もりができます,簡単見積もり！即日保険相談,camera,gpt35,4,1,0,0,0
1064,dodaは公務員の転職に強い,dodaで公務員の転職を成功させよう,camera,gpt35,1,4,0,5,5
1065,このペット保険デメリットある？,ペット保険のデメリットは？,camera,gpt35,0,5,1,0,9
1066,梅田 ホテル 予約,梅田ホテル 最安値,camera,gpt35,5,0,0,0,0
1067,今の電気代と比較してください,電気代を比較しよう,camera,gpt35,1,4,0,5,5
1068,学校で美容を学ぼう！,美容学校で学ぼう！,camera,gpt35,0,5,0,5,5
1069,【必見】車の保険、最安値で！,【最安値】車の保険、必見！,camera,gpt35,0,5,1,4,5
1070,andar通販でセール開催！,andar通販でセール中！,camera,gpt35,0,5,2,3,5
1071,mitsuiでショッピングを楽しむ！,mitsuiでお得なショッピングを楽しむ！,camera,gpt35,2,3,0,1,9
1072,歯並び矯正なら月4300円！,歯並び矯正なら月4300円〜,camera,gpt35,1,4,2,6,2
1073,介護転職ランキングTOP3！,介護転職のトップ3ランキング,camera,gpt35,0,5,2,8,0
1074,アートスキル、OCHABIで磨く,アートスキル、OCHABIで更なる磨き,camera,gpt35,0,5,1,5,4
1075,【大阪】脱毛ならこの5つ！,【大阪】脱毛ならこの5つ！ → 【大阪】脱毛ならこの5つも！,camera,gpt35,0,5,2,5,3
1076,最新！借入れ住宅ローン一覧,新着！住宅ローンの選択肢,camera,gpt35,0,5,1,7,2
1077,一戸建て査定、すぐに知ろう！,即戦力！一戸建て査定,camera,gpt35,4,1,0,0,0
1078,24卒新卒の転職はこちらから,新卒の転職はこちらから,camera,gpt35,3,2,0,0,0
1079,介護事務パート、1日1時間〜OK,柔軟な働き方で介護事務パート,camera,gpt35,5,0,0,0,0
1080,珍宴で極上の中国料理を,- 中国料理の極上美味、珍し宴,camera,gpt35,2,3,0,7,3
1081,保険料、見直して節約！,保険料見直しでお得に！,camera,gpt35,0,5,0,3,7
1082,戸建て探しは曳舟で決まり！,曳舟で理想の戸建てを見つけよう！,camera,gpt35,0,5,1,5,4
1083,オンラインでAGA治療始めよう,- AGA治療はオンラインで可能,camera,gpt35,0,5,0,8,2
1084,安い任意保険、今すぐ比較,お得な任意保険、比較開始,camera,gpt35,1,4,0,6,4
1085,北海道で不動産転職！,北海道での不動産転職！,camera,gpt35,0,5,2,8,0
1086,人気のペット保険、見ましたか？,ペット保険の人気、みました？,camera,gpt35,1,4,1,9,0
1087,女性向け！秋冬トレンドシューズ,トレンドシューズ秋冬新作,camera,gpt35,4,1,0,0,0
1088,人気の車リース、その理由は？,車リースの魅力、その秘密は？,camera,gpt35,0,5,0,8,2
1089,"""ラキューテでお得に買物！""","""ラキューテでお得な買い物ができる！""",camera,gpt35,0,5,0,7,3
1090,高松市で最高のホテル,高松の最高ホテル,camera,gpt35,0,5,1,6,3
1091,"""市川駅近！理想の戸建て""","""駅近！理想の戸建て""",camera,gpt35,4,1,0,0,0
1092,教習ローンなら学生もOK!,学生も利用可能な教習ローン!,camera,gpt35,0,5,0,5,5
1093,関内の人気ネイルサロン,関内のネイルサロン,camera,gpt35,0,5,0,9,1
1094,ハップヘアメイクで新髪型,ハップヘアメイクでトレンド髪型,camera,gpt35,1,4,0,0,10
1095,中標津空港近くの便利ホテル,中標津✨空港近くの便利ホテル,camera,gpt35,0,5,1,5,4
1096,「映像学ぶなら専門講座へ」,「専門講座で映像学ぶ」,camera,gpt35,0,5,1,7,2
1097,じぶん銀行カーローン金利低め,金利低！じぶん銀行カーローン,camera,gpt35,0,5,1,3,6
1098,柳瀬川のトップクラス美容院,柳瀬川No.1美容室,camera,gpt35,2,3,0,3,7
1099,浦和で理想の戸建てを！,浦和の夢の戸建て！,camera,gpt35,0,5,1,9,0
1100,カードローンなら銀行安心！,銀行カードローンで安心利用,camera,gpt35,1,4,0,1,9
1101,歯並び矯正なら月4300円！,月4300円から！歯並び矯正,camera,gpt35,1,4,0,4,6
1102,遺産相続、家や土地を効率的に,遺産相続、家や土地をスムーズに,camera,gpt35,0,5,0,4,6
1103,人気のペット保険、見ましたか？,大人気のペット保険、見逃さないでください！,camera,gpt35,2,3,0,4,6
1104,【最速】auひかりを体感せよ,【驚速】auひかりを体感せよ,camera,gpt35,1,4,1,7,2
1105,【関内でおすすめ】ネイル,【関内でおすすめ】ジェルネイル,camera,llama2,0,5,4,2,4
1106,ギフト券を高く売れる高換金率店,高価買取のギフトショップ ネット,camera,llama2,4,1,0,0,0
1107,"ネット申込みで最大21,000円割引","ネットで今日、お申込みで21,000円割引",camera,llama2,2,3,0,10,0
1108,プロ直伝の動画クリエイター講座,プロの動画編集テクニックを学ぶことができる講座,camera,llama2,1,4,0,9,1
1109,【公式】バーミヤンの持ち帰り,【公式】バーミヤンの宅配,camera,llama2,3,2,0,0,0
1110,【厳選3社】即日キャッシング,【厳選】即日キャッシング3社まとめてお申し込みでお得,camera,llama2,4,1,0,0,0
1111,【2022年】人気ペット保険を比較,【2022年】人気のペット保険をランキングで比較,camera,llama2,2,3,0,5,5
1112,医師によるスピード発毛治療,スピード発毛で医師と話してるだけで癒やされます,camera,llama2,4,1,0,0,0
1113,【12月限定】年末特別価格,【12月限定】年末特別価格,camera,llama2,0,5,10,0,0
1114,【最新版】医療脱毛おすすめTOP5,医療脱毛の口コミ・評判でおすすめのクリニックをTOP5で紹介,camera,llama2,2,3,0,8,2
1115,【至急】お金が必要ならこの4社,【至急】お金が必要ならこの4社,camera,llama2,0,5,10,0,0
1116,ダンボール箱即日配達いたします,ダンボール通販 即日配達,camera,llama2,0,5,2,5,3
1117,バレずにお金借りるならこの3社,バレずにお金借りるならこの3社,camera,llama2,0,5,9,1,0
1118,【本日更新】看護師の求人,【今日だけ】看護師の求人,camera,llama2,4,1,0,0,0
1119,各社の死亡保険を比較できる,各社の死亡保険を一括で比較・相談できます。,camera,llama2,1,4,0,3,7
1120,トリバゴのおすすめ旅館,トリバゴおすすめの旅館が見つけられる！,camera,llama2,0,5,1,4,5
1121,IT資産管理が簡単にできる,IT資産管理が楽になる,camera,llama2,1,4,0,6,4
1122,歯並びを1日で治すならこちら,歯並びが気になるあなた。1日で矯正できる方法をご存知ですか？ 専用,camera,llama2,1,4,0,8,2
1123,カンタン無料お見積り,無料です,camera,llama2,4,1,0,0,0
1124,【300円】から始めるAGA治療,【初月料金】から始めるAGA治療,camera,llama2,4,1,0,0,0
1125,【公式】スクールIE／個別指導,【個別指導】スクールIEの通信制高校,camera,llama2,4,1,0,0,0
1126,【最新2022年】人気がん保険TOP5,【最新2022年】人気がん保険TOP5,camera,llama2,0,5,9,1,0
1127,エアコン掃除はプロにお任せ,エアコン汚れで悩まない生活を,camera,llama2,4,1,0,0,0
1128,今日中にお金借りるならこの３社,今日中にお金借りるならこの3社,camera,llama2,0,5,9,0,1
1129,自分たちの予算に合った結婚式,自分たちの理想の結婚式を手頃な予算で,camera,llama2,3,2,0,0,0
1130,医療保険の見直ししませんか？,医療保険の掛け金や医療の現状、あなたにぴったりの保��,camera,llama2,4,1,0,0,0
1131,ワキガ対策/切らずに1回で完了,ワキガ対策/切らずに1回で完了,camera,llama2,0,5,10,0,0
1132,今すぐオンライン診療予約,今すぐオンライン診療予約する,camera,llama2,0,5,0,6,4
1133,最大91％OFF / 給湯器交換,最大91％OFF 給湯器交換,camera,llama2,0,5,2,6,2
1134,高校で【美容師免許】が取れる,高校で美容師の国家資格「美容師免許」が取得できる,camera,llama2,0,5,0,6,4
1135,12月キャンペーン/残り21 日,12月限りの特別価格！ 残り21日,camera,llama2,2,3,0,3,7
1136,【六本木一丁目】整体サロン予約,六本木一丁目の整体サロンの予約をするなら◎,camera,llama2,1,4,0,5,5
1137,不倫で慰謝料請求されたら,不倫で慰謝料請求されたら、弁護士を通じて賠償金の支,camera,llama2,3,2,0,0,0
1138,働きながら学べる動画編集,働きながら学べる動画編集スキルを身につけよう,camera,llama2,0,5,0,5,5
1139,土地の価格評価を調べるなら,土地の売却価格を調べるには,camera,llama2,1,4,2,4,4
1140,睡眠中に美肌。寝ながら贅沢ケア,睡眠中に美肌。寝ながら贅沢ケア,camera,llama2,0,5,10,0,0
1141,所持金0円でも働ける寮付き求人,所持金なくても大丈夫！寮完備の求人を探す,camera,llama2,1,4,0,5,5
1142,留学保険／主要10社を徹底比較,留学保険／格安航空券とのセットも,camera,llama2,4,1,0,0,0
1143,今すぐお金が必要ならこの4社,今すぐお金が必要ならこの4社,camera,llama2,0,5,10,0,0
1144,車一括査定はやめたほうがいい？,車を高く売る方法を知りたい方にお役立て下さい。一括査定をすることで,camera,llama2,5,0,0,0,0
1145,【漫画読み放題】7日間完全無料,毎日読みたい漫画が見つけられる♪7日間完全無料でお試し,camera,llama2,2,3,0,7,3
1146,【公式】チャレンジ3年生,3年生のチャレンジは、学校の宿題をするだけではもらえません。,camera,llama2,5,0,0,0,0
1147,求人掲載したい企業・店舗様向け,求人情報をお掲載いただくと掲載料金がお得になるキャンペーン実施,camera,llama2,5,0,0,0,0
1148,銀行カードローンはどこが良い？,銀行カードローンの審査はどこが良い？ 信用情報に支障があるなど、様,camera,llama2,3,2,0,0,0
1149,低価格でおもてなし重視の結婚式,格安でおもてなし重視の結婚式,camera,llama2,1,4,0,6,4
1150,"【HIS】日帰りバス6,800円～","【HIS】日帰りバス6,800円～",camera,llama2,0,5,10,0,0
1151,【日本最大】Creema(クリーマ),【日本最大】Creema(クリーマ),camera,llama2,0,5,9,1,0
1152,東京でブランド品、高価買取,ブランド品を高く買い取ってもらいたい,camera,llama2,4,1,0,0,0
1153,eスポーツを極める専門校,eスポーツのプロを育成する専門学校,camera,llama2,1,4,1,3,6
1154,60日間でWebデザイナーを目指す,Webデザイナーを60日間で目指す。,camera,llama2,0,5,0,7,3
1155,あなたのマンション今いくら？,あなたのマンションの今いくら？ お部屋情報検索ならSUUMOで,camera,llama2,3,2,0,0,0
1156,AGA治療の費用はお薬代のみ,AGA治療の費用はお薬代だけで、相場よりもリーズナブル,camera,llama2,1,4,1,7,2
1157,求人募集 福岡をお探しの企業様,求人情報をご紹介します,camera,llama2,5,0,0,0,0
1158,社内の稟議・決裁をWeb上で完結,社内の手続きをWeb上で行えば、時間とコストの削減につながるかもしれません,camera,llama2,4,1,0,0,0
1159,求人の出し方にお困りなら,求人の出し方がわからない方、お悔やみ申し上げます。 幸いなことに、ハイクリ,camera,llama2,4,1,0,0,0
1160,エアコン掃除はプロにお任せ,エアコン汚れで悩まない生活を,camera,llama2,5,0,0,0,0
1161,1日でできるLIXILの「まど断熱」,1日でできるLIXILの「まど断熱」,camera,llama2,0,5,10,0,0
1162,クレカ 審査なし,クレジットカード 審査 無い,camera,llama2,0,5,0,8,2
1163,正職員登用制度あり,正社員になることができる可能性があります,camera,llama2,0,5,1,9,0
1164,桜木町のホテル【最安値】予約,桜木町の格安ホテルを最大限に比較して予約。,camera,llama2,2,3,1,8,1
1165,1日1時間〜OK女性向け時短パート,1日だけ・あるいは1時間だけ,camera,llama2,5,0,0,0,0
1166,飛騨古川温泉の宿予約,飛騨古川温泉の宿を予約するなら、お得な情報を見つけて下さい。,camera,llama2,2,3,0,7,3
1167,他社の見積書提示でさらに割引,他社の見積書を提示して、さらに割引します,camera,llama2,0,5,2,4,4
1168,クラウドだから常に最新の機能,クラウドだから最新の機能を自由に選ぶことができます。,camera,llama2,2,3,0,6,4
1169,安中市 建売価格が安い順で探す,安中市 新築一戸建て 価格情報が満載！ 安中市 建売 価格,camera,llama2,5,0,0,0,0
1170,アゴダで格安のホテル予約,格安でおしゃれなホテルを探すならアゴダで。,camera,llama2,2,3,0,3,7
1171,給与計算業務アウトソーシング,給与計算から人事情報の管理までトータルにサポートします。,camera,llama2,3,2,0,0,0
1172,複数の保険を簡単比較,複数の保険料を一括比較しておトクな保険選び,camera,llama2,0,5,1,5,4
1173,京都 伏見駅の格安ホテル,京都 伏見駅 格安ホテル,camera,llama2,0,5,4,5,1
1174,かんたん5分でシミュレーション,かんたん5分でシミュレーション,camera,llama2,0,5,10,0,0
1175,レイトチェックアウト可能プラン,レイトチェックアウトで、のびのびとお過ごしいただけるプラン,camera,llama2,1,4,2,3,5
1176,【登戸でおすすめ】美容院,【登戸でおすすめ】美容院,camera,llama2,0,5,8,2,0
1177,"初月のAGA治療費は1,000円のみ","初月だけ1,000円でAGA治療が受けられます",camera,llama2,0,5,0,7,3
1178,かまいたちCM出演中,かまいたち、CM出演中,camera,llama2,0,5,2,5,3
1179,保険料は一生涯上がりません,保険料は定年まで払えば一生涯、上がることはありません,camera,llama2,3,2,0,0,0
1180,レガリアベッド／最低価格保証,レガリアベッド／最安値でご提供,camera,llama2,3,2,0,0,0
1181,司法書士 料金表 相続,司法書士の報酬は、基本報酬と別に別途業務報酬をいただくことがあ,camera,llama2,5,0,0,0,0
1182,クラウドPBXおすすめ比較,クラウドPBXおすすめ比較,camera,llama2,0,5,10,0,0
1183,美瑛の温泉の宿予約,美瑛の温泉宿を予約,camera,llama2,0,5,3,1,6
1184,VRを活用した体験型学校教育,VRを活用した授業が体験できる学校教育,camera,llama2,0,5,2,6,2
1185,お金を借りるなら、どこがいい？,お金を借りるなら、何にいい？,camera,llama2,3,2,0,0,0
1186,料金比較でお得にホテル予約,格安でおすすめのホテルをご紹介,camera,llama2,5,0,0,0,0
1187,はじめての脱毛デビューなら,はじめての脱毛なら,camera,llama2,0,5,0,7,3
1188,人探し探偵 おすすめランキング,人探し 探偵 おすすめ,camera,llama2,2,3,0,9,1
1189,中目黒で当日給料手渡し可能,中目黒でその日その場でお金をもらうことができる,camera,llama2,0,5,1,6,3
1190,【公式】ピッコマ／待てば無料,ピッコマ／無料で読める漫画が好きなら、今すぐ始めよう！,camera,llama2,4,1,0,0,0
1191,2024新卒 IT向け就活サイト,2024年新卒、IT業界の就職活動サイト,camera,llama2,0,5,2,6,2
1192,今すぐネットでかんたん見積り,今すぐネットで一括見積り,camera,llama2,0,5,0,8,2
1193,低金利の金融機関も比較できる,低コストな資金調達の機会も比べられる,camera,llama2,3,2,0,0,0
1194,人気の女性向け医療保険,人気の女性向け医療保険,camera,llama2,0,5,9,1,0
1195,有馬温泉 最安値ホテル,有馬温泉 格安ホテル,camera,llama2,2,3,1,6,3
1196,すぐに保険の見積もりができます,保険の無料一括見積もりがすぐにできます,camera,llama2,2,3,1,4,5
1197,dodaは公務員の転職に強い,公務員の経験者・正社員登用の転職に特化したサービスです,camera,llama2,4,1,0,0,0
1198,このペット保険デメリットある？,このペット保険のデメリットは？,camera,llama2,1,4,1,4,5
1199,梅田 ホテル 予約,梅田 格安 ホテル 予約,camera,llama2,3,2,0,0,0
1200,今の電気代と比較してください,今の電気代と比べてみてください,camera,llama2,0,5,2,3,5
1201,学校で美容を学ぼう！,学校で美容のプロを目指そう！,camera,llama2,1,4,0,1,9
1202,【必見】車の保険、最安値で！,【最大１０００円／年】車の保険、最安値で検索！,camera,llama2,4,1,0,0,0
1203,andar通販でセール開催！,andar通販でセール開催！,camera,llama2,0,5,8,2,0
1204,mitsuiでショッピングを楽しむ！,mitsuiでショッピングを楽しもう！,camera,llama2,0,5,1,4,5
1205,歯並び矯正なら月4300円！,歯並び矯正が月額4300円でできる！,camera,llama2,0,5,0,3,7
1206,介護転職ランキングTOP3！,介護職の転職・求人情報ならTOP3！,camera,llama2,1,4,1,6,3
1207,アートスキル、OCHABIで磨く,アートスキル、OCHABIで磨く。,camera,llama2,0,5,5,2,3
1208,【大阪】脱毛ならこの5つ！,【大阪】脱毛ならこの5つ！ 人気の脱毛サロン・クリニックを��,camera,llama2,3,2,0,0,0
1209,最新！借入れ住宅ローン一覧,最新！借入れ住宅ローン一覧,camera,llama2,0,5,9,1,0
1210,一戸建て査定、すぐに知ろう！,一戸建て査定、いますぐご相談ください,camera,llama2,1,4,0,6,4
1211,24卒新卒の転職はこちらから,24卒新卒の転職はこちらから,camera,llama2,0,5,10,0,0
1212,介護事務パート、1日1時間〜OK,介護の現場で必要な事務処理をお手伝いします。1日1時間からでもOK！,camera,llama2,4,1,0,0,0
1213,珍宴で極上の中国料理を,珍宴で至極の中国料理を,camera,llama2,1,4,0,8,2
1214,保険料、見直して節約！,保険料、見直しておトク！,camera,llama2,0,5,1,3,6
1215,戸建て探しは曳舟で決まり！,戸建て探しは曳舟で決まり！ 新築・中古問わず、お客様のご要望に合った物,camera,llama2,4,1,0,0,0
1216,オンラインでAGA治療始めよう,AGA治療の薬も通販で購入できるようになったので、オンラインで始めて,camera,llama2,1,4,1,8,1
1217,安い任意保険、今すぐ比較,格安の自動車保険、探せばすぐ見つかる,camera,llama2,4,1,0,0,0
1218,北海道で不動産転職！,北海道で土地、建物の売却・買取をご検討の方へ,camera,llama2,5,0,0,0,0
1219,人気のペット保険、見ましたか？,人気のペット保険、見つけましたか？,camera,llama2,0,5,0,3,7
1220,女性向け！秋冬トレンドシューズ,女性向け！トレンドシューズが満載♪,camera,llama2,4,1,0,0,0
1221,人気の車リース、その理由は？,人気の車リースの理由は？ お求めやすい価格でご提供しているからです。 お見,camera,llama2,4,1,0,0,0
1222,"""ラキューテでお得に買物！""",ラキューテで最大６０％OFF！,camera,llama2,4,1,0,0,0
1223,高松市で最高のホテル,高松市で最高のホテルをご紹介します。,camera,llama2,0,5,1,5,4
1224,"""市川駅近！理想の戸建て""",理想の戸建てが市川駅近にある,camera,llama2,0,5,0,7,3
1225,教習ローンなら学生もOK!,,camera,llama2,5,0,0,0,0
1226,関内の人気ネイルサロン,関内で人気のネイルサロンをご紹介します。,camera,llama2,0,5,0,6,4
1227,ハップヘアメイクで新髪型,ハップヘアメイクで新髪型,camera,llama2,0,5,9,1,0
1228,中標津空港近くの便利ホテル,中標津空港近くの格安ホテルが満載！,camera,llama2,3,2,0,0,0
1229,「映像学ぶなら専門講座へ」,映像のプロを目指すなら、専門の講座へ,camera,llama2,1,4,0,5,5
1230,じぶん銀行カーローン金利低め,じぶん銀行カーローン金利格段お得,camera,llama2,1,4,0,5,5
1231,柳瀬川のトップクラス美容院,柳瀬川で一番の美容院,camera,llama2,1,4,1,8,1
1232,浦和で理想の戸建てを！,浦和で理想の一戸建てを！,camera,llama2,0,5,2,2,6
1233,カードローンなら銀行安心！,,camera,llama2,5,0,0,0,0
1234,歯並び矯正なら月4300円！,歯並び矯正が月額4300円でできる！,camera,llama2,0,5,0,2,8
1235,遺産相続、家や土地を効率的に,遺産相続、家や土地を効率的に活用しましょう。,camera,llama2,0,5,0,5,5
1236,人気のペット保険、見ましたか？,人気のペット保険、見つけましたか？,camera,llama2,0,5,1,3,6
1237,【最速】auひかりを体感せよ,【最速】auひかりが今すぐ快適生活を,camera,llama2,2,3,0,5,5
